2013-07-22 13:18:29 Notice: Notice (8): Undefined index: Sitemap in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/controllers/sitemaps_controller.php, line 30]
2013-07-22 13:18:29 Notice: Notice (8): Undefined index: Sitemap in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/app_controller.php, line 73]
2013-07-22 13:18:30 Notice: Notice (8): Undefined index: Sitemap in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/controllers/sitemaps_controller.php, line 30]
2013-07-22 13:18:30 Notice: Notice (8): Undefined index: Sitemap in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/app_controller.php, line 73]
2013-07-22 13:57:04 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 29]
2013-07-22 13:57:04 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 51]
2013-07-22 13:57:04 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 52]
2013-07-22 13:57:04 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 55]
2013-07-22 13:57:04 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 65]
2013-07-22 13:57:04 Notice: Notice (8): Undefined index: children in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 68]
2013-07-22 13:57:17 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 29]
2013-07-22 13:57:17 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 51]
2013-07-22 13:57:17 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 52]
2013-07-22 13:57:17 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 55]
2013-07-22 13:57:17 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 65]
2013-07-22 13:57:17 Notice: Notice (8): Undefined index: children in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 68]
2013-07-22 13:57:20 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 29]
2013-07-22 13:57:20 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 51]
2013-07-22 13:57:20 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 52]
2013-07-22 13:57:20 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 55]
2013-07-22 13:57:20 Notice: Notice (8): Undefined index: Destino in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 65]
2013-07-22 13:57:20 Notice: Notice (8): Undefined index: children in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/destinos/destino.ctp, line 68]
2013-07-22 13:57:35 Notice: Notice (8): Undefined variable: menu_ativo in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/elements/title-bar/title-bar.default.ctp, line 10]
2013-07-22 14:11:34 Notice: Notice (8): Array to string conversion in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/elements/title-bar/title-bar.destinos.ctp, line 8]
2013-07-22 14:11:43 Notice: Notice (8): Array to string conversion in [/Users/rodrigozulu/desenvolvimento/www/boomviagens/site/views/design/custom/elements/title-bar/title-bar.destinos.ctp, line 8]
